# epochs, loss, val_loss, mae, val_mae, r_squared, val_r_squared
1, 4730.634765625, 1756.6026611328125, 58.354209899902344, 33.579002380371094, -0.12769748270511627, -0.060947392135858536
2, 3849.862548828125, 1863.91650390625, 52.09797286987305, 33.83938980102539, 0.07707536965608597, -0.14781543612480164
3, 1950.6368408203125, 513.7017822265625, 33.93539810180664, 17.65118408203125, 0.532760739326477, 0.6625121831893921
4, 522.3187866210938, 393.4588928222656, 17.493885040283203, 15.461760520935059, 0.8708831667900085, 0.753063440322876
5, 373.41064453125, 442.2205810546875, 14.787775993347168, 16.354867935180664, 0.9093126058578491, 0.7219911217689514
6, 294.36383056640625, 332.0856628417969, 13.16513729095459, 14.079482078552246, 0.9281328916549683, 0.7897130846977234
7, 244.12347412109375, 276.2499694824219, 11.998183250427246, 12.871170043945312, 0.9399557113647461, 0.8263553977012634
8, 211.85601806640625, 329.9681396484375, 11.160083770751953, 13.948287010192871, 0.9474889636039734, 0.7873077392578125
9, 185.60345458984375, 248.80551147460938, 10.42972469329834, 12.123577117919922, 0.9546915888786316, 0.8449246883392334
10, 162.2701416015625, 239.8971710205078, 9.755581855773926, 11.776836395263672, 0.9586260914802551, 0.8452997803688049
11, 148.0543212890625, 240.025146484375, 9.315043449401855, 11.782846450805664, 0.9639569520950317, 0.850128173828125
12, 135.63165283203125, 236.16372680664062, 8.883054733276367, 11.6963529586792, 0.9663024544715881, 0.8490211963653564
13, 127.7425765991211, 237.92408752441406, 8.63024616241455, 11.707959175109863, 0.9687924981117249, 0.8504006862640381
14, 124.02262878417969, 235.27845764160156, 8.506345748901367, 11.665772438049316, 0.9693805575370789, 0.8510119915008545
15, 122.13970947265625, 236.14907836914062, 8.44589614868164, 11.690306663513184, 0.9701228737831116, 0.8469005227088928
16, 120.74076843261719, 236.18896484375, 8.381007194519043, 11.682524681091309, 0.9706243276596069, 0.8508451581001282
17, 121.96151733398438, 235.52862548828125, 8.416021347045898, 11.652295112609863, 0.9521812796592712, 0.851977527141571
18, 120.25009155273438, 235.6748504638672, 8.365801811218262, 11.663514137268066, 0.9706001877784729, 0.8507639169692993
19, 120.02214050292969, 235.6726531982422, 8.325016975402832, 11.663403511047363, -1449071.0, 0.8457614779472351
20, 119.62670135498047, 235.63938903808594, 8.349197387695312, 11.661941528320312, 0.9704594612121582, 0.8515670299530029
21, 119.70298767089844, 235.63143920898438, 8.337602615356445, 11.661661148071289, 0.970076858997345, 0.8497161269187927
22, 119.11430358886719, 235.6318817138672, 8.313594818115234, 11.661651611328125, 0.9709075093269348, 0.8540067076683044
23, 119.19982147216797, 235.6318817138672, 8.318268775939941, 11.661648750305176, 0.9708234071731567, 0.8478113412857056
24, 119.62181091308594, 235.6318359375, 8.32482624053955, 11.661650657653809, 0.9707218408584595, 0.8523817658424377
